"";"X";"country";"product";"item_code";"com_group";"product_group";"diet_group";"DGE_group"
"147";147;"AFG";"Beans";2546;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"148";148;"AFG";"Peas";2547;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"149";149;"AFG";"Pulses, Other and products";2549;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"150";150;"AFG";"Nuts and products";2551;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"151";151;"AFG";"Soyabeans";2555;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"152";152;"AFG";"Groundnuts (Shelled Eq)";2556;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"153";153;"AFG";"Sunflower seed";2557;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"154";154;"AFG";"Rape and Mustardseed";2558;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"155";155;"AFG";"Seed cotton";328;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"156";156;"AFG";"Coconuts - Incl Copra";2560;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"157";157;"AFG";"Sesame seed";2561;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"158";158;"AFG";"Oil, palm fruit";254;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"159";159;"AFG";"Olives (including preserved)";2563;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"160";160;"AFG";"Oilcrops, Other";2570;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"161";161;"AFG";"Tomatoes and products";2601;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"162";162;"AFG";"Onions";2602;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"163";163;"AFG";"Vegetables, Other";2605;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"164";164;"AFG";"Oranges, Mandarines";2611;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"165";165;"AFG";"Lemons, Limes and products";2612;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"166";166;"AFG";"Grapefruit and products";2613;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"167";167;"AFG";"Citrus, Other";2614;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"168";168;"AFG";"Bananas";2615;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"169";169;"AFG";"Plantains";2616;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"170";170;"AFG";"Apples and products";2617;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"171";171;"AFG";"Pineapples and products";2618;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"172";172;"AFG";"Dates";2619;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"173";173;"AFG";"Grapes and products (excl wine)";2620;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"174";174;"AFG";"Fruits, Other";2625;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Fruits";"Fruits"
"175";175;"AFG";"Coffee and products";2630;"Coffee, tea, cocoa";"Primary crops";"Coffee, tea, cocoa";"excluded"
"176";176;"AFG";"Cocoa Beans and products";2633;"Coffee, tea, cocoa";"Primary crops";"Coffee, tea, cocoa";"excluded"
"177";177;"AFG";"Tea (including mate)";2635;"Coffee, tea, cocoa";"Primary crops";"Coffee, tea, cocoa";"excluded"
"178";178;"AFG";"Hops";677;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"179";179;"AFG";"Pepper";2640;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"180";180;"AFG";"Pimento";2641;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"181";181;"AFG";"Cloves";2642;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"182";182;"AFG";"Spices, Other";2645;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"183";183;"AFG";"Jute";2662;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"184";184;"AFG";"Jute-Like Fibres";2663;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"185";185;"AFG";"Soft-Fibres, Other";2664;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"186";186;"AFG";"Sisal";2665;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"187";187;"AFG";"Abaca";2666;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"188";188;"AFG";"Hard Fibres, Other";2667;"Fibre crops";"Primary crops";"Fibre crops";"excluded"
"189";189;"AFG";"Tobacco";2671;"Tobacco, rubber";"Primary crops";"Tobacco, rubber";"excluded"
"190";190;"AFG";"Rubber";2672;"Tobacco, rubber";"Primary crops";"Tobacco, rubber";"excluded"
"191";191;"AFG";"Fodder crops";2000;"Fodder crops, grazing";"Primary crops";"Fodder crops, grazing";"excluded"
"192";192;"AFG";"Grazing";2001;"Fodder crops, grazing";"Primary crops";"Fodder crops, grazing";"excluded"
"193";193;"AFG";"Cottonseed";2559;"Fibre crops";"Crop products";"Fibre crops";"excluded"
"194";194;"AFG";"Palm kernels";2562;"Oil crops";"Crop products";"Oil crops and nuts";"vegetables incl. legumes"
"195";195;"AFG";"Sugar non-centrifugal";2541;"Sugar, sweeteners";"Crop products";"Sugar, sweeteners";"Alcohol, sugar and honey"
"196";196;"AFG";"Molasses";2544;"Sugar, sweeteners";"Crop products";"Sugar, sweeteners";"Alcohol, sugar and honey"
"197";197;"AFG";"Sugar, Refined Equiv";2818;"Sugar, sweeteners";"Crop products";"Sugar, sweeteners";"Alcohol, sugar and honey"
"198";198;"AFG";"Sweeteners, Other";2543;"Sugar, sweeteners";"Crop products";"Sugar, sweeteners";"Alcohol, sugar and honey"
"199";199;"AFG";"Soyabean Oil";2571;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"200";200;"AFG";"Groundnut Oil";2572;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"201";201;"AFG";"Sunflowerseed Oil";2573;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"202";202;"AFG";"Rape and Mustard Oil";2574;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"203";203;"AFG";"Cottonseed Oil";2575;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"204";204;"AFG";"Palmkernel Oil";2576;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"205";205;"AFG";"Palm Oil";2577;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"206";206;"AFG";"Coconut Oil";2578;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"207";207;"AFG";"Sesameseed Oil";2579;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"208";208;"AFG";"Olive Oil";2580;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"209";209;"AFG";"Ricebran Oil";2581;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"210";210;"AFG";"Maize Germ Oil";2582;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"211";211;"AFG";"Oilcrops Oil, Other";2586;"Vegetable oils";"Crop products";"Vegetable oils";"Vegetable oils"
"212";212;"AFG";"Soyabean Cake";2590;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"213";213;"AFG";"Groundnut Cake";2591;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"214";214;"AFG";"Sunflowerseed Cake";2592;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"215";215;"AFG";"Rape and Mustard Cake";2593;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"216";216;"AFG";"Cottonseed Cake";2594;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"217";217;"AFG";"Palmkernel Cake";2595;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"218";218;"AFG";"Copra Cake";2596;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"219";219;"AFG";"Sesameseed Cake";2597;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"220";220;"AFG";"Oilseed Cakes, Other";2598;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"221";221;"AFG";"Wine";2655;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"222";222;"AFG";"Beer";2656;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"223";223;"AFG";"Beverages, Fermented";2657;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"224";224;"AFG";"Beverages, Alcoholic";2658;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"225";225;"AFG";"Alcohol, Non-Food";2659;"Ethanol";"Crop products";"Ethanol";"excluded"
"226";226;"AFG";"Cotton lint";2661;"Fibre crops";"Crop products";"Fibre crops";"excluded"
"227";227;"AFG";"Cattle";866;"Live animals";"Livestock";"Live animals";"excluded"
"228";228;"AFG";"Buffaloes";946;"Live animals";"Livestock";"Live animals";"excluded"
"229";229;"AFG";"Sheep";976;"Live animals";"Livestock";"Live animals";"excluded"
"230";230;"AFG";"Goats";1016;"Live animals";"Livestock";"Live animals";"excluded"
"231";231;"AFG";"Pigs";1034;"Live animals";"Livestock";"Live animals";"excluded"
"232";232;"AFG";"Poultry Birds";2029;"Live animals";"Livestock";"Live animals";"excluded"
"233";233;"AFG";"Horses";1096;"Live animals";"Livestock";"Live animals";"excluded"
"234";234;"AFG";"Asses";1107;"Live animals";"Livestock";"Live animals";"excluded"
"235";235;"AFG";"Mules";1110;"Live animals";"Livestock";"Live animals";"excluded"
"236";236;"AFG";"Camels";1126;"Live animals";"Livestock";"Live animals";"excluded"
"237";237;"AFG";"Camelids, other";1157;"Live animals";"Livestock";"Live animals";"excluded"
"238";238;"AFG";"Rabbits and hares";1140;"Live animals";"Livestock";"Live animals";"excluded"
