
Com.Code;Item.Code;Item;Unit;Group;Moisture;Feedtype;Com.Group;120;Source_nutr (Food_consumption_table_FAO);Kcal;G_prot;G_fat
c108;1140;Rabbits and hares;1000 Head;Livestock;0;NA;Live animals;FALSE;NA;Na;Na;Na
c109;1150;Rodents. other;1000 Head;Livestock;0;NA;Live animals;FALSE;NA;Na;Na;Na
c110;1171;Live animals. other;1000 Head;Livestock;0;NA;Live animals;TRUE;NA;Na;Na;Na
c111;2848;Milk - Excluding Butter;tonnes;Livestock products;0.875;Animal products;Milk;TRUE;STANDARDIZED MILK';48;3.3;1.5
c112;2740;Butter. Ghee;tonnes;Livestock products;0.15;Animal products;Milk;FALSE;'BUTTER OF COW MILK';717;0.9;81.1
c113;2744;Eggs;tonnes;Livestock products;0.744;Animal products;Eggs;TRUE;'HEN EGGS';139;10.7;9.8
c114;2746;Wool (Clean Eq.);tonnes;Livestock products;0;Animal products;Hides. skins. wool;TRUE;NA;Na;Na;Na
c115;2731;Bovine Meat;tonnes;Livestock products;0.65;Animal products;Meat;TRUE;'BEEF BONELESS';150;18.5;7.9
c116;2732;Mutton & Goat Meat;tonnes;Livestock products;0.6;Animal products;Meat;TRUE;'MUTTON AND LAMB';263;13.5;22.8
c117;2733;Pigmeat;tonnes;Livestock products;0.6;Animal products;Meat;TRUE;'PIGMEAT';326;11;31
c118;2734;Poultry Meat;tonnes;Livestock products;0.6;Animal products;Meat;TRUE;'CHICKEN MEAT';122;12.3;7.7
c119;2735;Meat. Other;tonnes;Livestock products;0.65;Animal products;Meat;TRUE;'MEAT NES';126;16.4;6
c120;2736;Offals. Edible;tonnes;Livestock products;0.65;Animal products;Meat;TRUE;'OFFALS OF CATTLE';105;18.4;2.5
c121;2737;Fats. Animals. Raw;tonnes;Livestock products;0.01;Animal products;Animal fats;TRUE;'FAT OF CATTLE';847;2;93
c122;2748;Hides and skins;tonnes;Livestock products;0;Animal products;Hides. skins. wool;TRUE;NA;Na;Na;Na
c123;2749;Meat Meal;tonnes;Livestock products;0.075;Animal products;Meat;TRUE;'MEAT PREPARED NES';242;20.6;16.9
c124;843;Pet food;tonnes;Livestock products;0.65;Animal products;Meat;TRUE;NA;Na;Na;Na
c125;2745;Honey;tonnes;Livestock products;0.17;Animal products;Honey;TRUE;Honey_nutritiondata;304;0.3;0
c126;2747;Silk;tonnes;Livestock products;0;Animal products;Hides. skins. wool;TRUE;NA;Na;Na;Na
c127;2960;Fish. Seafood;tonnes;Fish;0.7;Animal products;Fish;TRUE;'MARINE FISH NES FRESH';64;10.3;2.2
c128;1864;Wood fuel;m3;Wood;0;NA;Wood;TRUE;NA;Na;Na;Na
c129;1866;Industrial roundwood. coniferous;m3;Wood;0;NA;Wood;TRUE;NA;Na;Na;Na
c130;1867;Industrial roundwood. non-coniferous;m3;Wood;0;NA;Wood;TRUE;NA;Na;Na;Na
